2019-11-17 15:45:33: "Profile directory: /home/u/.config/joplin"
2019-11-17 15:45:34: "First start: detected locale as en_GB"
2019-11-17 15:45:34: "Trying to load 0 master keys..."
2019-11-17 15:45:34: "Loaded master keys: 0"
2019-11-17 15:45:34: "ResourceFetcher: Auto-add resources: Mode: always"
2019-11-17 15:45:34: "ResourceFetcher: Auto-added resources: 0"
2019-11-17 15:45:34: "Running migration: 20"
2019-11-17 15:45:34: "Trying to load 0 master keys..."
2019-11-17 15:45:34: "Loaded master keys: 0"
2019-11-17 15:45:34: "Scheduling sync operation..."
2019-11-17 15:45:34: "Trying to load 0 master keys..."
2019-11-17 15:45:34: "Loaded master keys: 0"
2019-11-17 15:45:34: "Scheduling sync operation..."
2019-11-17 15:45:34: "Trying to load 0 master keys..."
2019-11-17 15:45:34: "Loaded master keys: 0"
2019-11-17 15:45:34: "Scheduling sync operation..."
2019-11-17 15:45:34: "RevisionService::runInBackground: Starting background service with revision collection interval 600000"
2019-11-17 15:45:35: "DecryptionWorker: cannot start because no master key is currently loaded."
2019-11-17 15:45:38: "RevisionService::maintenance: Starting..."
2019-11-17 15:45:38: "RevisionService::maintenance: Service is enabled"
2019-11-17 15:45:38: "RevisionService::collectRevisions: Created revisions for 0 notes"
2019-11-17 15:45:38: "RevisionService::maintenance: Done in 112ms"
2019-11-17 15:45:44: "SearchEngine: Updating FTS table..."
2019-11-17 15:45:44: "Preparing scheduled sync"
2019-11-17 15:45:44: "Saving updated Dropbox auth."
2019-11-17 15:45:44: "Synchroniser is missing credentials - manual sync required to authenticate."
2019-11-17 15:46:04: "ResourceService::indexNoteResources: Start"
2019-11-17 15:46:04: "ResourceService::indexNoteResources: Completed"
2019-11-17 15:46:04: "ResourceService::deleteOrphanResources:", "[]"
2019-11-17 15:50:34: "Running background sync on timer..."
2019-11-17 15:50:34: "Scheduling sync operation..."
2019-11-17 15:50:34: "Preparing scheduled sync"
2019-11-17 15:50:34: "Synchroniser is missing credentials - manual sync required to authenticate."
2019-11-17 15:55:34: "Running background sync on timer..."
2019-11-17 15:55:34: "Scheduling sync operation..."
2019-11-17 15:55:34: "Preparing scheduled sync"
2019-11-17 15:55:34: "Synchroniser is missing credentials - manual sync required to authenticate."
2019-11-17 15:55:34: "RevisionService::maintenance: Starting..."
2019-11-17 15:55:34: "RevisionService::maintenance: Service is enabled"
2019-11-17 15:55:34: "RevisionService::collectRevisions: Created revisions for 0 notes"
2019-11-17 15:55:34: "RevisionService::maintenance: Done in 137ms"
2019-11-17 15:56:54: "Saving updated OneDrive auth."
2019-11-17 15:57:27: "Saving updated OneDrive auth."
2019-11-17 15:57:50: "Operations completed: "
2019-11-17 15:57:50: "fetchingTotal: 3"
2019-11-17 15:57:50: "fetchingProcessed: 3"
2019-11-17 15:57:50: "Total folders: 0"
2019-11-17 15:57:50: "Total notes: 0"
2019-11-17 15:57:50: "Total resources: 0"
2019-11-17 16:00:34: "Running background sync on timer..."
2019-11-17 16:00:34: "Scheduling sync operation..."
2019-11-17 16:00:34: "Preparing scheduled sync"
2019-11-17 16:00:34: "Starting scheduled sync"
2019-11-17 16:00:45: "TaskQueue.stop: syncDownload: waiting for tasks to complete: 0"
2019-11-17 16:00:45: "TaskQueue.stop: syncDownload: Done, waited for 0"
2019-11-17 16:00:51: "ResourceFetcher: Auto-add resources: Mode: always"
2019-11-17 16:00:51: "ResourceFetcher: Auto-added resources: 1"
2019-11-17 16:00:51: "ResourceFetcher: Auto-add resources: Mode: always"
2019-11-17 16:00:51: "ResourceFetcher: Auto-added resources: 0"
2019-11-17 16:00:52: "ResourceFetcher: Auto-add resources: Mode: always"
2019-11-17 16:00:52: "ResourceFetcher: Auto-added resources: 1"
2019-11-17 16:00:52: "ResourceFetcher: Auto-add resources: Mode: always"
2019-11-17 16:00:52: "ResourceFetcher: Auto-added resources: 2"
2019-11-17 16:00:52: "Operations completed: "
2019-11-17 16:00:52: "fetchingTotal: 10"
2019-11-17 16:00:52: "fetchingProcessed: 10"
2019-11-17 16:00:52: "createLocal: 8"
2019-11-17 16:00:52: "Total folders: 1"
2019-11-17 16:00:52: "Total notes: 4"
2019-11-17 16:00:52: "Total resources: 3"
2019-11-17 16:00:53: "ResourceFetcher: Auto-add resources: Mode: always"
2019-11-17 16:00:53: "ResourceFetcher: Auto-added resources: 0"
2019-11-17 16:00:54: "ResourceFetcher: Auto-add resources: Mode: always"
2019-11-17 16:00:54: "ResourceFetcher: Auto-added resources: 0"
2019-11-17 16:00:59: "SearchEngine: Updating FTS table..."
2019-11-17 16:01:00: "SearchEngine: Updated FTS table in 119ms. Inserted: 4. Deleted: 0"
2019-11-17 16:01:14: "TaskQueue.stop: syncDownload: waiting for tasks to complete: 0"
2019-11-17 16:01:14: "TaskQueue.stop: syncDownload: Done, waited for 0"
2019-11-17 16:01:16: "Operations completed: "
2019-11-17 16:01:16: "fetchingTotal: 1"
2019-11-17 16:01:16: "fetchingProcessed: 1"
2019-11-17 16:01:16: "Total folders: 1"
2019-11-17 16:01:16: "Total notes: 4"
2019-11-17 16:01:16: "Total resources: 3"
2019-11-17 16:05:34: "RevisionService::maintenance: Starting..."
2019-11-17 16:05:34: "RevisionService::maintenance: Service is enabled"
2019-11-17 16:05:34: "RevisionService::collectRevisions: Created revisions for 0 notes"
2019-11-17 16:05:34: "RevisionService::maintenance: Done in 109ms"
2019-11-17 16:05:52: "Running background sync on timer..."
2019-11-17 16:05:52: "Scheduling sync operation..."
2019-11-17 16:05:52: "Preparing scheduled sync"
2019-11-17 16:05:52: "Starting scheduled sync"
2019-11-17 16:06:02: "TaskQueue.stop: syncDownload: waiting for tasks to complete: 0"
2019-11-17 16:06:02: "TaskQueue.stop: syncDownload: Done, waited for 0"
2019-11-17 16:06:06: "Operations completed: "
2019-11-17 16:06:06: "fetchingTotal: 2"
2019-11-17 16:06:06: "fetchingProcessed: 2"
2019-11-17 16:06:06: "createLocal: 1"
2019-11-17 16:06:06: "Total folders: 2"
2019-11-17 16:06:06: "Total notes: 4"
2019-11-17 16:06:06: "Total resources: 3"
2019-11-17 16:06:16: "SearchEngine: Updating FTS table..."
2019-11-17 16:06:16: "SearchEngine: Updated FTS table in 2ms. Inserted: 0. Deleted: 0"
2019-11-17 16:08:24: "TaskQueue.stop: syncDownload: waiting for tasks to complete: 0"
2019-11-17 16:08:24: "TaskQueue.stop: syncDownload: Done, waited for 0"
2019-11-17 16:08:27: "ResourceFetcher: Auto-add resources: Mode: always"
2019-11-17 16:08:27: "ResourceFetcher: Auto-added resources: 1"
2019-11-17 16:08:27: "Operations completed: "
2019-11-17 16:08:27: "fetchingTotal: 5"
2019-11-17 16:08:27: "fetchingProcessed: 5"
2019-11-17 16:08:27: "createLocal: 3"
2019-11-17 16:08:27: "Total folders: 2"
2019-11-17 16:08:27: "Total notes: 5"
2019-11-17 16:08:27: "Total resources: 4"
2019-11-17 16:08:27: "ResourceFetcher: Auto-add resources: Mode: always"
2019-11-17 16:08:27: "ResourceFetcher: Auto-added resources: 0"
2019-11-17 16:08:29: "ResourceFetcher: Auto-add resources: Mode: always"
2019-11-17 16:08:29: "ResourceFetcher: Auto-added resources: 0"
2019-11-17 16:08:37: "SearchEngine: Updating FTS table..."
2019-11-17 16:08:37: "SearchEngine: Updated FTS table in 42ms. Inserted: 1. Deleted: 0"
2019-11-17 16:11:06: "Running background sync on timer..."
2019-11-17 16:11:06: "Scheduling sync operation..."
2019-11-17 16:11:06: "Preparing scheduled sync"
2019-11-17 16:11:06: "Starting scheduled sync"
2019-11-17 16:11:17: "TaskQueue.stop: syncDownload: waiting for tasks to complete: 0"
2019-11-17 16:11:17: "TaskQueue.stop: syncDownload: Done, waited for 0"
2019-11-17 16:11:18: "Operations completed: "
2019-11-17 16:11:18: "fetchingTotal: 1"
2019-11-17 16:11:18: "fetchingProcessed: 1"
2019-11-17 16:11:18: "Total folders: 2"
2019-11-17 16:11:18: "Total notes: 5"
2019-11-17 16:11:18: "Total resources: 4"
2019-11-17 16:15:34: "RevisionService::maintenance: Starting..."
2019-11-17 16:15:34: "RevisionService::maintenance: Service is enabled"
2019-11-17 16:15:34: "RevisionService::collectRevisions: Created revisions for 0 notes"
2019-11-17 16:15:34: "RevisionService::maintenance: Done in 129ms"
2019-11-17 16:16:18: "Running background sync on timer..."
2019-11-17 16:16:18: "Scheduling sync operation..."
